Book_Code,Book_Title,Author,Year_Published,Pages,ID_Peminjaman,Tanggal_Peminjaman,Tanggal_Pengembalian,ID_Anggota Peminjam,Nama_Anggota,Alamat,No.Telepon
956,Sense and Sensibility,Jane Austen,1811,349,PB-2023-042,2024-09-05,2023-09-16,123917,Klarika,123 St,(021) - 428645
1134,"Childhood, Boyhood, Youth",L.N. Tolstoy,1857,319,PB-2023-043,2024-09-05,2023-09-16,123918,Joli,East Dr,(021) - 428646
356,Garbo,Norman Zierold,1969,157,PB-2023-044,2024-09-05,2023-09-16,123919,Babette,E 175 St,(021) - 428647
1014,Play It as It Lays,Joan Didion,1970,152,PB-2023-045,2024-09-05,2023-09-16,123920,Grier,112 Av,(021) - 428648
106,Diary,Anais Nin,1934,358,PB-2023-046,2024-09-05,2023-09-16,123921,Clerissa,Forest Av,(021) - 428649
720,The Counterfeiters,André Gide,1927,397,PB-2023-047,2024-09-05,2023-09-16,123922,Elly,3 Av,(021) - 428650
513,Sentimental Education,Gustave Flaubert,1869,419,PB-2023-048,2024-09-05,2023-09-16,123923,Felicle,Secor Av,(021) - 428651
372,Lord Jim,Joseph Conrad,1900,313,PB-2023-049,2024-09-05,2023-09-16,123924,Christine,172 St,(021) - 428652
496,Othello,William Shakespeare,1602,128,PB-2023-050,2024-09-05,2023-09-16,123935,Becca,W 13 St,(021) - 428653
1073,Buddenbrooks,Thomas Mann,1901,595,PB-2023-051,2024-09-05,2023-09-16,123926,Austin,Milton St,(021) - 428654
1175,Listening to America,Bill Moyers,1971,342,PB-2023-052,2024-09-05,2023-09-16,123927,Heloise,E 68 St,(021) - 428655
498,Future Shock,Alvin Toffer,1970,430,PB-2023-053,2024-09-05,2023-09-16,123928,Linea,Sayres Av,(021) - 428656
327,Being There,Jerzy Kosinski,1971,140,PB-2023-054,2024-09-05,2023-09-16,123929,Josie,178 St,(021) - 428657
164,Jane Eyre,Charlotte Brontë,1847,477,PB-2023-055,2024-09-05,2023-09-17,123930,Kasey,Park Ln,(021) - 428658
379,King Lear,William Shakespeare,1605,138,PB-2023-056,2024-09-05,2023-09-17,123931,Lust,112 Av,(021) - 428659
817,Elective Affinities,Johann Wolfgang Goethe,1809,300,PB-2023-057,2024-09-05,2023-09-17,123932,Halette,Milton Av,(021) - 428660
559,Elementary Harmony,William J. Mitchell,1965,230,PB-2023-058,2024-09-05,2023-09-17,123933,Emmeline,E 184 St,(021) - 428661
588,The Birth of the Republic,Edmund S. Morgan,1956,157,PB-2023-059,2024-09-05,2023-09-17,123934,Georgia,47 Av,(021) - 428662
1034,"A New England Town, the First One Hundred Years",Kenneth A. Lockridge,1969,180,PB-2023-060,2024-09-05,2023-09-17,123925,Betta,Archer Rd,(021) - 428663
1101,The Charioteer,Mary Renault,1961,347,PB-2023-061,2024-09-05,2023-09-17,123936,Mehetabel,Crotona Av,(021) - 428664
350,Anna Karenina,L.N. Tolstoy,1873,852,PB-2023-062,2024-09-05,2023-09-17,123937,Benni,190 St,(021) - 428665
216,The New Class,Milovan Djilas,1957,214,PB-2023-063,2024-09-05,2023-09-17,123938,Devin,Castle Hill Avenue,(021) - 428666
857,"J.S. Bach, Vol. 1",Albert Schweitzer,1911,428,PB-2023-064,2024-09-05,2023-09-17,123939,Michel,Eastchester Road,(021) - 428667
1017,The Wisdom of Insecurity,Alan Watts,1951,152,PB-2023-065,2024-09-05,2023-09-17,123940,Cherlyn,Gates Av,(021) - 428668
741,All My Friends are Going to Be Strangers,Larry McMurtry,1972,286,PB-2023-066,2024-09-05,2023-09-17,123941,Delphinia,East Houston Street,(021) - 428669
124,Jonathan Livingston Seagull,Richard Bach,1970,93,PB-2023-067,2024-09-05,2023-09-17,123942,Andree,Cooper Av,(021) - 428670
345,Look Homeward Angel,Thomas Wolfe,1929,522,PB-2023-068,2024-09-05,2023-09-14,123943,Emmalee,East Dr,(021) - 428671
1313,Darwin and the Beagle,Alan Moorehead,1969,270,PB-2023-069,2024-09-05,2023-09-14,123944,Cathee,Southern Boulevard,(021) - 428672
596,David Copperfield,Charles Dickens,1850,850,PB-2023-070,2024-09-05,2023-09-14,123945,Emalia,Beacon Pl,(021) - 428673
23,American Notes,Charles Dickens,1842,320,PB-2023-071,2024-09-05,2023-09-14,123946,Kimberli,Manor Rd,(021) - 428674
798,The Mind of the South,W.J. Cash,1941,440,PB-2023-072,2024-09-05,2023-09-14,123947,Cathi,Williamsbridge Road,(021) - 428675
1115,The Wild Palms,William Faulkner,1939,317,PB-2023-073,2024-09-05,2023-09-14,123948,Lotty,E 214 St,(021) - 428676
642,Tess of the D'Urbervilles,Thomas Hardy,1902,517,PB-2023-074,2024-09-05,2023-09-14,123949,Kamila,McGraw Av,(021) - 428677
1263,"Homosexuality, a Psychoanalytic Survey",Irving Bieber,1955,319,PB-2023-075,2024-09-05,2023-09-14,123950,Annmaria,Turnbull Av,(021) - 428678
188,The Immoralist,André Gide,1903,171,PB-2023-076,2024-09-05,2023-09-14,123951,Genovera,1 Av,(021) - 428679
598,Bury My Heart at Wounded Knee,Dee Brown,1971,421,PB-2023-077,2024-09-05,2023-09-14,123952,Diahann,168 St,(021) - 428680
659,One Hundred Years of Solitude,Gabriel Garcia Marques,1970,383,PB-2023-078,2023-04-01,2023-09-14,123953,Eva,E 176 St,(021) - 428681
828,Pride and Prejudice,Jane Austen,1797,430,PB-2023-079,2023-04-02,2023-09-14,123954,Aindrea,Adams Av,(021) - 428682
122,The Domestic Life of Thomas Jefferson,Sarah N. Randolph,1939,384,PB-2023-080,2023-04-03,2023-09-14,123955,Adriane,Baxter St,(021) - 428683
69,The Lost World of Thomas Jefferson,Daniel Boorstin,1948,248,PB-2023-081,2023-04-04,2023-09-14,123956,Hertha,Unionport Road,(021) - 428684
937,Apple to the Core,Peter McCabe and Robert D. Schonfeld,1972,200,PB-2023-082,2023-04-05,2023-09-14,123957,Jasmina,88 St,(021) - 428685
858,"Sir Isaac Newton, His Life and Work",E.N. da C. Andrade,1954,136,PB-2023-083,2023-04-06,2023-09-14,123958,Melamie,69 Av,(021) - 428686
1212,Economics and the Public Purpose,John Kenneth Galbraith,1973,324,PB-2023-084,2023-04-07,2023-09-14,123959,Loren,E 178 St,(021) - 428687
1037,The Southern Lady,Anne F. Scott,1970,231,PB-2023-085,2023-04-08,2023-09-14,123960,Marci,Manhattan Avenue,(021) - 428688
294,The Coming of the French Revolution,Georges Lefebvre,1947,220,PB-2023-086,2023-04-09,2023-09-14,123961,Imojean,Arleigh Rd,(021) - 428689
403,On Aggression,Konrad Lorenz,1966,290,PB-2023-087,2023-04-10,2023-09-14,123962,Ara,41 Av,(021) - 428690
259,The Lonely Life,Bette Davis,1962,254,PB-2023-088,2023-04-11,2023-09-14,123963,Amelia,Linden Blvd,(021) - 428691
738,"Plain Speaking, an Oral Biography of Harry S. Truman",Merle Miller,1973,432,PB-2023-089,2023-04-12,2023-09-14,123964,Fortune,Arthur Av,(021) - 428692
234,Transparent Things,Vladimir Nabokov,1972,158,PB-2023-090,2023-04-13,2023-09-14,123965,Aloise,Douglaston Parkway,(021) - 428693
620,Persuasion,Jane Austen,1818,254,PB-2023-091,2023-04-14,2023-09-14,123966,Maureen,Boston Rd,(021) - 428694
1158,Ball Four,Jim Bouton,1970,369,PB-2023-092,2023-04-15,2023-09-14,123967,Kirsti,Marmion Av,(021) - 428695
981,This Hallowed Ground,Bruce Catton,1956,495,PB-2023-093,2023-04-16,2023-09-14,123968,Courtney,Field Pl,(021) - 428696
1128,Conundrum,Jan Morris,1974,174,PB-2023-094,2023-04-17,2023-09-14,123969,Lin,179 St,(021) - 428697
877,The Life of Dylan Thomas,Constantine Fitzgibbon,1965,346,PB-2023-095,2023-04-18,2023-09-14,123970,Laurena,1 Av,(021) - 428698
1047,Cutting Through Spiritual Materialism,Chogyam Thungpa,1973,322,PB-2023-096,2023-04-19,2023-09-14,123971,Maya,E 61 St,(021) - 428699
838,Jaws,Peter Benchley,1974,272,PB-2023-097,2023-04-20,2023-09-14,123972,Corabella,Elie Ct,(021) - 428700
1032,Journey to Ixtlan,Carlos Castaneda,1972,315,PB-2023-098,2023-04-21,2023-09-14,123973,Christin,114 Rd,(021) - 428701
677,The Chosen,Chaim Potok,1969,416,PB-2023-099,2023-04-22,2023-09-14,123974,Aubrey,Bivona St,(021) - 428702
1036,The Adventures of Sherlock Holmes,Sir Arthur Conan Doyle,1892,248,PB-2023-100,2023-04-23,2023-09-14,123975,Brandie,73 Av,(021) - 428703
666,America at 1750,Richard Hofstadter,1973,292,PB-2023-101,2023-04-24,2023-09-14,123976,Adrian,Prospect Av,(021) - 428704
388,The End of the Affair,Graham Greene,1951,240,PB-2023-102,2023-04-25,2023-09-14,123977,Cathryn,Castle Hill Avenue,(021) - 428705
520,"Clive, Inside the Record Business",Clive Davis,1974,291,PB-2023-103,2023-04-26,2023-09-14,123978,Jeannie,Seneca Av,(021) - 428706
1069,The Power Broker,Robert A. Caro,1974,1162,PB-2023-104,2023-04-27,2023-09-14,123979,Ki,61 St,(021) - 428707
279,Portrait of a Lady,Henry James,1881,545,PB-2023-105,2023-04-28,2023-09-14,123980,Adrien,Waterbury Avenue,(021) - 428708
444,The Seven Per-Cent Solution,Nicholas Meyer,1974,234,PB-2023-106,2023-04-29,2023-09-14,123981,Lurette,Dorsey St,(021) - 428709
622,Memoirs of Barry Lyndon,William M. Thackeray,1854,324,PB-2023-107,2023-04-30,2023-09-14,123982,Leoline,70 Av,(021) - 428710
384,Breakfast of Champions,"Kurt Vonnegut, Jr.",1973,295,PB-2023-108,2024-09-05,2023-09-14,123983,Carroll,East Tremont Avenue,(021) - 428711
1241,The Last Tycoon,F. Scott Fitzgerald,1941,163,PB-2023-109,2024-09-05,2023-09-14,123984,Jocelyn,Zerega Av,(021) - 428712
998,The Courage to Create,Rollo May,1975,140,PB-2023-110,2024-09-05,2023-09-14,123985,Lelah,80 Av,(021) - 428713
1314,Copland on Music,Aaron Copland,1960,280,PB-2023-111,2024-09-05,2023-09-14,123986,Aubry,Boston Rd,(021) - 428714
1190,The Man in the Roman Street,Harold Mattingly,1966,156,PB-2023-112,2024-09-05,2023-09-14,123987,Imelda,255 St,(021) - 428715
358,George Sand,Curtis Cate,1975,732,PB-2023-113,2024-09-05,2023-09-14,123988,Darby,Cooper Av,(021) - 428716
426,Geology Illustrated,John S. Shelton,1966,424,PB-2023-114,2024-09-05,2023-09-14,123989,Melessa,E 176 St,(021) - 428717
730,To Jerusalem and Back,Saul Bellow,1976,182,PB-2023-115,2024-09-05,2023-09-14,123990,Cornie,214 St,(021) - 428718
1204,Humboldt's Gift,Saul Bellow,1973,472,PB-2023-116,2024-09-05,2023-09-14,123991,Magna,Boston Rd,(021) - 428719
1016,"Time On the Cross, the Economics of American Negro Slavery",Robert Wm. Fogel and Stanley L. Engerman,1974,264,PB-2023-117,2024-09-05,2023-09-14,123992,Lorrayne,Clinton Pl,(021) - 428720
787,The Penguin Atlas of Medieval History,Colin McEvedy,1961,90,PB-2023-118,2024-09-05,2023-09-14,123993,Abigael,70 Av,(021) - 428721
194,Do You Love Me?,R.D. Laing,1976,86,PB-2023-119,2024-09-05,2023-09-14,123994,Georgianna,E 184 St,(021) - 428722
1019,The Undiscovered Self,C.G. Jung,1957,125,PB-2023-120,2024-09-05,2023-09-14,123995,Fawna,Hone Av,(021) - 428723
170,Modern Man in Search of a Soul,C.G. Jung,1933,244,PB-2023-121,2024-09-05,2023-09-14,123996,Claude,Centre St,(021) - 428724
81,My Autobiography,Charles Chaplin,1964,497,PB-2023-122,2024-09-05,2023-09-14,123997,Dori,Fairview Av,(021) - 428725
109,A Summer Bird-Cage,Margaret Drabble,1963,208,PB-2023-123,2024-09-05,2023-09-14,123998,Abigale,Castle Hill Avenue,(021) - 428726
14,Childhood's End,Arthur C. Clarke,1953,218,PB-2023-124,2024-09-05,2023-09-14,123999,,E 26 St,
662,The Europeans,Henry James,1878,173,PB-2023-125,2024-09-05,2023-09-14,124000,Claudine,W 178 St,(021) - 428728
1257,The Shining,Stephen King,1977,447,PB-2023-126,2024-09-05,2023-09-14,124001,Allianora,Bleecker St,(021) - 428729
148,The Ambassadors,Henry James,1903,397,PB-2023-127,2024-09-05,2023-09-14,124002,Bria,40 Rd,(021) - 428730
1053,Passages,Gail Sheehy,1976,514,PB-2023-129,2024-09-05,2023-09-14,,Fleurette,Madison Av,(021) - 428732
1053,Passages,Gail Sheehy,1976,514,PB-2023-130,2024-09-06,2023-09-15,,Fleurette,Madison Av,(021) - 428733
459,Letters from an American Farmer,J. Hector St. John de Crevecoeur,1782,225,PB-2023-131,2024-09-05,2023-09-14,124005,Dolly,171 St,(021) - 428734
156,"Genius and Lust, a Journey through the Major Writings of Henry Miller",Norman Mailer,1976,476,PB-2023-132,2024-09-05,2023-09-14,124006,Margalit,Buchanan Av,(021) - 428735
1173,The Origin of Species,Charles Darwin,1859,460,PB-2023-133,2024-09-05,2023-09-14,124007,Bamby,Francis Lewis Boulevard,(021) - 428736
670,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,1974,406,PB-2023-134,2024-09-05,2023-09-14,124008,Keren,Melba St,(021) - 428737
457,Childhood and Society,Erik Erikson,1950,424,PB-2023-135,2024-09-05,2023-09-14,124009,Ginnifer,112 Av,(021) - 428738
1244,Swann's Way,Marcel Proust,1928,325,PB-2023-136,2024-09-05,2023-09-14,124010,Katlin,E 184 St,(021) - 428739
246,"Chapters in Western Civilization, Vol. 1",Columbia College,1954,545,PB-2023-137,2024-09-05,2023-09-14,124011,Jeniece,126 St,(021) - 428740
1277,"The Last Days of Socrates, Euthyphro, The Apology, Crito, Phaedo",Plato,1955,199,PB-2023-138,2024-09-05,2023-09-14,124012,Missie,213 St,(021) - 428741
997,Japanese Society,Chie Nakane,1970,151,PB-2023-139,2024-09-05,2023-09-14,124013,Lyndy,Marion Av,(021) - 428742
90,The Iliad,Homer,1967,459,PB-2023-140,2024-09-05,2023-09-14,124014,Consolata,Elm Pl,(021) - 428743
493,The Symposium,Plato,1956,122,PB-2023-141,2024-09-05,2023-09-14,124015,Krystalle,Suffolk Av,(021) - 428744
991,The Idiot,Fyodor Dostoevsky,1869,642,PB-2023-142,2024-09-05,2023-09-14,124016,Carolyn,3 Av,(021) - 428745
1172,Eminent Victorians,Lytton Strachey,1918,338,PB-2023-143,2024-09-05,2023-09-14,124017,Arabela,188 St,(021) - 428746
727,Fifth Business,Robertson Davies,1970,268,PB-2023-144,2024-09-05,2023-09-14,124018,Ada,Turnbull Av,(021) - 428747
702,The Second World War,A.J.P. Taylor,1975,235,PB-2023-145,2024-09-05,2023-09-14,124019,Amanda,Holden Blvd,(021) - 428748
783,Coming Into the Country,John McPhee,1976,438,PB-2023-146,2024-09-05,2023-09-14,124020,Larisa,Sunset Av,(021) - 428749
192,The Glory and the Dream,William Manchester,1974,1302,PB-2023-147,2024-09-05,2023-09-14,124021,Lilian,E 183 St,(021) - 428750
437,Ressurrection,L.N. Tolstoy,1899,568,PB-2023-148,2024-09-05,2023-09-14,124022,Joycelin,E 175 St,(021) - 428751
972,The Sheltering Sky,Paul Bowles,1949,305,PB-2023-149,2024-09-05,2023-09-14,124023,Karrah,Bruner Av,(021) - 428752
1256,Heart of Darkness,Joseph Conrad,1902,111,PB-2023-150,2024-09-05,2023-09-14,124024,Jemimah,39 Av,(021) - 428753
1096,Spring Snow,Yukio Mishima,1968,376,PB-2023-151,2024-09-05,2023-09-14,124025,Ginelle,W 32 St,(021) - 428754
362,European History since 1870,James Joll,1973,486,PB-2023-152,2024-09-05,2023-09-14,124026,Bernette,1 Av,(021) - 428755
1031,Marilyn,Norman Mailer,1974,262,PB-2023-153,2024-09-05,2023-09-14,124027,Gertrude,Boston Rd,(021) - 428756
601,"Good Morning, Midnight",Jean Rhys,1974,190,PB-2023-154,2024-09-05,2023-09-14,124028,Mignon,Myrtle Av,(021) - 428757
223,The World According to Garp,John Irving,1976,609,PB-2023-155,2024-09-05,2023-09-14,124029,Antonietta,Wood Av,(021) - 428758
105,"The Protagoras, The Meno",Plato,1945,157,PB-2023-156,2024-09-05,2023-09-14,124030,Loise,Centre St,(021) - 428759
801,Ladies' Man,Richard Price,1978,264,PB-2023-157,2024-09-05,2023-09-14,124031,Bethanne,80 St,(021) - 428760
35,The Postman Always Rings Twice,James M. Cain,1934,120,PB-2023-158,2024-09-05,2023-09-14,124032,Bekki,Guerlain St,(021) - 428761
7,Voyage in the Dark,Jean Rhys,1934,159,PB-2023-159,2024-09-05,2023-09-14,124033,Fenelia,Prospect Av,(021) - 428762
693,The Wealth of Nations,Adam Smith,1776,347,PB-2023-160,2024-09-05,2023-09-14,124034,Chandra,Myrtle Av,(021) - 428763
563,New Horizons in Astronomy,John C. Brandt and Stephen P. Maran,1979,533,PB-2023-161,2024-09-05,2023-09-14,124035,Inga,E 66 St,(021) - 428764
74,Male and Female,Margaret Mead,1949,344,PB-2023-162,2024-09-05,2023-09-14,124036,Dorotea,139 Av,(021) - 428765
253,Ecco Homo,Friedrich Nietzsche,1888,134,PB-2023-163,2024-09-05,2023-09-14,124037,Fernande,Loomis St,(021) - 428766
1284,The Savage God,A. Alvarez,1971,272,PB-2023-164,2024-09-05,2023-09-14,124038,Leia,53 Av,(021) - 428767
549,Jude the Obscure,Thomas Hardy,1896,511,PB-2023-165,2024-09-05,2023-09-14,124039,Melantha,E 23 St,(021) - 428768
13,The Sense of Beauty,George Santayana,1896,164,PB-2023-166,2024-09-05,2023-09-14,124040,Maisie,263 St,(021) - 428769
1269,Gulliver's Travels,Jonathan Swift,1726,360,PB-2023-167,2024-09-05,2023-09-14,124041,Chelsae,Harold St,(021) - 428770
1088,Autobiography,W.B. Yeats,1922,387,PB-2023-168,2024-09-05,2023-09-14,124042,Charlotte,Baychester Avenue,(021) - 428771
276,Ten Days that Shook the World,John Reed,1926,351,PB-2023-169,2024-09-05,2023-09-14,124043,Elbertine,Canal St,(021) - 428772
606,The Slave,Isaac Bashevis Singer,1962,287,PB-2023-170,2024-09-05,2023-09-14,124044,Katherina,Cypress Av,(021) - 428773
482,Liberalism and Social Action,John Dewey,1935,93,PB-2023-171,2024-09-05,2023-09-14,124045,Angie,Murdock Av,(021) - 428774
558,Working,Studs Turkel,1972,762,PB-2023-172,2024-09-05,2023-09-14,124046,Ariela,Forest Av,(021) - 428775
1067,Great Expectations,Charles Dickens,1861,512,PB-2023-173,2024-09-05,2023-09-14,124047,Hermina,Monsignor John J Bought Green,(021) - 428776
1279,"Botany, a study of pure curiosity",Jean-Jacques Rousseau,1781,122,PB-2023-174,2024-09-05,2023-09-14,124048,Ivette,Putnam Av,(021) - 428777
1207,The American,Henry James,1875,325,PB-2023-175,2024-09-05,2023-09-14,124049,Charmaine,Centre St,(021) - 428778
743,New Jerusalem,Len Jenkin,1985,204,PB-2023-176,2024-09-05,2023-09-14,124050,Crysta,Livermore Avenue,(021) - 428779
973,"The Life of Birds, vol. 1",Jean Dorst,1971,341,PB-2023-177,2024-09-05,2023-09-14,124051,Jacki,Gower St,(021) - 428780
667,Within a Budding Grove,Marcel Proust,1920,386,PB-2023-178,2024-09-05,2023-09-14,124052,Gwenn,Newbold Av,(021) - 428781
1041,The Zero-Sum Society,Lester C. Thurow,1980,214,PB-2023-179,2024-09-05,2023-09-14,124053,Maurene,Crotona Av,(021) - 428782
95,An Open Book,John Huston,1980,373,PB-2023-180,2024-09-05,2023-09-14,124054,Frieda,W 31 St,(021) - 428783
1271,"Joshua, Then and Now",Mordecai Richler,1980,435,PB-2023-181,2024-09-05,2023-09-14,124055,Anjela,Canal St,(021) - 428784
34,Socrates,W.X.C. Guthrie,1969,187,PB-2023-182,2024-09-05,2023-09-14,124056,Corina,Clinton Av,(021) - 428785
470,The Body in Question,Jonathan Miller,1978,341,PB-2023-183,2024-09-05,2023-09-14,124057,Charlotta,Tillman St,(021) - 428786
22,The Decline and Fall of the Roman Empire (Abridged),Edward Gibbon,1787,713,PB-2023-184,2024-09-05,2023-09-14,124058,Em,Cypress Hills Street,(021) - 428787
593,"The Destinies of Darcy Dancer, Gentleman",J.P. Donleavy,1977,402,PB-2023-185,2024-09-05,2023-09-14,124059,Max,Mapes Av,(021) - 428788
67,A Portrait of the Artist as a Young Man,James Joyce,1916,253,PB-2023-186,2024-09-05,2023-09-14,124060,Fancie,E 25 St,(021) - 428789
177,The Acts of King Arthur and His Noble Knights,John Steinbeck,1976,349,PB-2023-187,2024-09-05,2023-09-14,124061,Birgitta,Mott St,(021) - 428790
104,"uncollected short stories, vol. 2 (containing ""The Inverted Forest"")",J.D. Salinger,1947,107,PB-2023-188,2024-09-05,2023-09-14,124062,Elora,Crotona Av,(021) - 428791
536,The Dancing Wu Li Masters,Gary Zukav,1979,332,PB-2023-189,2024-09-05,2023-09-14,124063,Liliane,E 175 St,(021) - 428792
1139,Faust (part one),Johann Wolfgang Goethe,1805,197,PB-2023-190,2024-09-05,2023-09-14,124064,Felice,Roosevelt Avenue,(021) - 428793
908,The Powers That Be,David Halberstam,1979,1027,PB-2023-191,2024-09-05,2023-09-14,124065,Annamaria,247 St,(021) - 428794
896,As I Walked Out One Midsummer Morning,Laurie Lee,1969,186,PB-2023-192,2024-09-05,2023-09-14,124066,Brittan,East Dr,(021) - 428795
746,Autobiography,Benvenuto Cellini,1562,397,PB-2023-193,2024-09-05,2023-09-14,124067,Nancee,Myrtle Av,(021) - 428796
1085,Lost in America,Isaac Bashevis Singer,1981,259,PB-2023-194,2024-09-05,2023-09-14,124068,Lianna,62 St,(021) - 428797
603,Nicholas Nickleby,Charles Dickens,1839,934,PB-2023-195,2024-09-05,2023-09-14,124069,Jane,Nassau Blvd,(021) - 428798
1113,Martin Eden,Jack London,1909,348,PB-2023-196,2024-09-05,2023-09-14,124070,Elisabet,Little Neck Parkway,(021) - 428799
